molecule,smiles,max_abs,max_em,solvent,dc,etn
PP2-NDI,C1C=C(N2C(=O)C3=C4C5=C(C(N(OS)C(=O)C5=CC=C4C2=O)=O)C=C3)C=CC=1C#CC1SC(C2C3C(=NSN=3)C(C3SC(C4C=CC5C6C(C(OO)(OO)C=5C=4)=CC(N(C4C=CC(C(O)=O)=CC=4)C4C=CC(C(O)=O)=CC=4)=CC=6)=CC=3)=CC=2)=CC=1,502.0,651.0,DCM,8.93,0.309
Haipeng-1,CCCCCCCCCCCCCCCCOc1cc(COc2ccc(cc2)c3sc(cc3)C#Cc4ccc(C#Cc5sc(cc5)c6ccc(OCc7cc(OCCCCCCCCCCCCCCCC)c(OCCCCCCCCCCCCCCCC)c(OCCCCCCCCCCCCCCCC)c7)cc6)c8nsnc48)cc(OCCCCCCCCCCCCCCCC)c1OCCCCCCCCCCCCCCCC,474.0,592.0,THF,7.58,0.605
Haipeng-1,CCCCCCCCCCCCCCCCOc1cc(COc2ccc(cc2)c3sc(cc3)C#Cc4ccc(C#Cc5sc(cc5)c6ccc(OCc7cc(OCCCCCCCCCCCCCCCC)c(OCCCCCCCCCCCCCCCC)c(OCCCCCCCCCCCCCCCC)c7)cc6)c8nsnc48)cc(OCCCCCCCCCCCCCCCC)c1OCCCCCCCCCCCCCCCC,471.0,565.0,TOL,2.3741,0.099
Haipeng-1,CCCCCCCCCCCCCCCCOc1cc(COc2ccc(cc2)c3sc(cc3)C#Cc4ccc(C#Cc5sc(cc5)c6ccc(OCc7cc(OCCCCCCCCCCCCCCCC)c(OCCCCCCCCCCCCCCCC)c(OCCCCCCCCCCCCCCCC)c7)cc6)c8nsnc48)cc(OCCCCCCCCCCCCCCCC)c1OCCCCCCCCCCCCCCCC,469.0,528.0,HEX,1.88,0.009
LD-BTD1,CN(C)C1=CC=C(C=C1)C2=CC=CC3=NSN=C32,420.0,511.0,HEX,1.88,0.009
LD-BTD1,CN(C)C1=CC=C(C=C1)C2=CC=CC3=NSN=C32,429.0,578.0,TOL,2.3741,0.099
LD-BTD1,CN(C)C1=CC=C(C=C1)C2=CC=CC3=NSN=C32,420.0,583.0,DEE,4.33,0.117
LD-BTD1,CN(C)C1=CC=C(C=C1)C2=CC=CC3=NSN=C32,429.0,633.0,THF,7.58,0.605
LD-BTD1,CN(C)C1=CC=C(C=C1)C2=CC=CC3=NSN=C32,431.0,635.0,OctOH,10.3,0.537
LD-BTD1,CN(C)C1=CC=C(C=C1)C2=CC=CC3=NSN=C32,423.0,709.0,MeOH,32.613,0.762
LD-BTD1,CN(C)C1=CC=C(C=C1)C2=CC=CC3=NSN=C32,429.0,713.0,DMF,37.5,0.386
LD-BTD1,CN(C)C1=CC=C(C=C1)C2=CC=CC3=NSN=C32,440.0,759.0,DMSO,46.826,0.444
Suguru-1a,CC1NC(=C2C=CC=CC12)c3cccc4nsnc34,383.0,523.0,TOL,2.3741,0.099
Suguru-1b,CCC1NC(=C2C=CC=CC12)c3cccc4nsnc34,380.0,521.0,TOL,2.3741,0.099
Suguru-1c,CC(C)C1=C(N(C2=CC=CC=C21)C(=O)OC(C)(C)C)C3=CC=CC4=NSN=C43,380.0,521.0,TOL,2.3741,0.099
Suguru-1d,CCOC(=O)N1C2=CC=CC=C2C(=C1C3=CC=CC4=NSN=C43)C,380.0,524.0,TOL,2.3741,0.099
Suguru-1e,CC1=CC=C(C=C1)S(=O)(=O)N2C3=CC=CC=C3C(=C2C4=CC=CC5=NSN=C54)C,371.0,519.0,TOL,2.3741,0.099
Suguru-1f,CC1=C(N(C2=CC=CC=C12)C(=O)C3=CC=CC=C3)C4=CC=CC5=NSN=C54,391.0,539.0,TOL,2.3741,0.099
Suguru-1g,CC1=C(N(C2=CC=CC=C12)C(=O)C(C)(C)C)C3=CC=CC4=NSN=C43,412.0,560.0,TOL,2.3741,0.099
Suguru-1h,CC1=C(N(C2=CC=CC=C12)C)C3=CC=CC4=NSN=C43,432.0,603.0,TOL,2.3741,0.099
Oguzhan-BT,C1=CC=C(C=C1)C2=CC=C(C3=NSN=C23)C4=CC=CC=C4,381.0,486.0,CFM,4.81,0.259
Oguzhan-BT,C1=CC=C(C=C1)C2=CC=C(C3=NSN=C23)C4=CC=CC=C4,385.0,483.0,CBZN,23.0,0.333
Oguzhan-BT,C1=CC=C(C=C1)C2=CC=C(C3=NSN=C23)C4=CC=CC=C4,380.0,492.0,EtOH,24.852,0.654
Oguzhan-BT,C1=CC=C(C=C1)C2=CC=C(C3=NSN=C23)C4=CC=CC=C4,386.0,488.0,BZNit,26.0,0.333
Oguzhan-BI-T,Oc1ccccc1C2=NC3C(N2)C(=CC=C3c4ccc(c5ccc(c6ccccc6)c7nc([nH]c57)c8ccccc8O)c9nsnc49)c%10ccccc%10,338.0,470.0,CFM,4.81,0.259
Oguzhan-BI-T,Oc1ccccc1C2=NC3C(N2)C(=CC=C3c4ccc(c5ccc(c6ccccc6)c7nc([nH]c57)c8ccccc8O)c9nsnc49)c%10ccccc%10,341.0,476.0,CBZN,23.0,0.333
Oguzhan-BI-T,Oc1ccccc1C2=NC3C(N2)C(=CC=C3c4ccc(c5ccc(c6ccccc6)c7nc([nH]c57)c8ccccc8O)c9nsnc49)c%10ccccc%10,339.0,466.0,EtOH,24.852,0.654
Oguzhan-BI-T,Oc1ccccc1C2=NC3C(N2)C(=CC=C3c4ccc(c5ccc(c6ccccc6)c7nc([nH]c57)c8ccccc8O)c9nsnc49)c%10ccccc%10,346.0,474.0,BZNit,26.0,0.333
Bin-1,CB(C1C=CC(C2C3C(=NSN=3)C(C3C=CC(B(C)C)=CC=3)=CC=2)=CC=1)C,392.0,477.0,BZN,2.27,0.111
Bin-1,CB(C1C=CC(C2C3C(=NSN=3)C(C3C=CC(B(C)C)=CC=3)=CC=2)=CC=1)C,393.0,469.0,CHX,2.02,0.006
Bin-1,CB(C1C=CC(C2C3C(=NSN=3)C(C3C=CC(B(C)C)=CC=3)=CC=2)=CC=1)C,391.0,478.0,THF,7.58,0.605
Bin-1,CB(C1C=CC(C2C3C(=NSN=3)C(C3C=CC(B(C)C)=CC=3)=CC=2)=CC=1)C,392.0,482.0,DCM,8.93,0.309
Bin-1,CB(C1C=CC(C2C3C(=NSN=3)C(C3C=CC(B(C)C)=CC=3)=CC=2)=CC=1)C,389.0,483.0,MeCN,37.5,0.46
Bin-2,COC1C=CC(C2C3C(=NSN=3)C(C3C=CC(B(C)C)=CC=3)=CC=2)=CC=1,401.0,511.0,BZN,2.27,0.111
Bin-3,CB(C)c1ccc(cc1)c2ccc(c3ccc(cc3)N(c4ccccc4)c5ccccc5)c6nsnc26,444.0,575.0,BZN,2.27,0.111
Bin-3,CB(C)c1ccc(cc1)c2ccc(c3ccc(cc3)N(c4ccccc4)c5ccccc5)c6nsnc26,446.0,536.0,CHX,2.02,0.006
Bin-3,CB(C)c1ccc(cc1)c2ccc(c3ccc(cc3)N(c4ccccc4)c5ccccc5)c6nsnc26,444.0,619.0,THF,7.58,0.605
Bin-3,CB(C)c1ccc(cc1)c2ccc(c3ccc(cc3)N(c4ccccc4)c5ccccc5)c6nsnc26,443.0,626.0,DCM,8.93,0.309
Bin-3,CB(C)c1ccc(cc1)c2ccc(c3ccc(cc3)N(c4ccccc4)c5ccccc5)c6nsnc26,443.0,669.0,MeCN,37.5,0.46
Bin-4,C1=CC=C(C=C1)C2=CC=C(C3=NSN=C23)C4=CC=CC=C4,381.0,473.0,BZN,2.27,0.111
Bin-4,C1=CC=C(C=C1)C2=CC=C(C3=NSN=C23)C4=CC=CC=C4,380.0,465.0,CHX,2.02,0.006
Bin-4,C1=CC=C(C=C1)C2=CC=C(C3=NSN=C23)C4=CC=CC=C4,179.0,477.0,THF,7.58,0.605
Bin-4,C1=CC=C(C=C1)C2=CC=C(C3=NSN=C23)C4=CC=CC=C4,378.0,479.0,DCM,8.93,0.309
Bin-4,C1=CC=C(C=C1)C2=CC=C(C3=NSN=C23)C4=CC=CC=C4,375.0,483.0,MeCN,37.5,0.46
Juha-11a,CCCCCCc1csc(c1)c2ccc(c3sc(nc3)c4sccc4)c5nsnc25,472.0,493.0,CFM,4.81,0.259
Juha-11b,CCCCCCc1csc(c1)c2ccc(c3sc(nc3)c4sccc4CCCCCC)c5nsnc25,475.0,497.0,CFM,4.81,0.259
Juha-11c,COc1ccsc1c2ccc(c3sc(nc3)c4sccc4)c5nsnc25,475.0,618.0,CFM,4.81,0.259
Chen-Bz(T1CAO)2,CCCCC(COC(/C(/C#N)=C/C1SC(C2C3C(=NSN=3)C(C3SC(/C=C(/C(OCC(CCCC)CC)=O)\C#N)=CC=3)=CC=2)=CC=1)=O)CC,498.0,575.0,DCM,8.93,0.309
Chen-Bz(T1CAEH)2,CCCCC(COC(/C(/C#N)=C/C1SC(C2SC(C3C4C(=NSN=4)C(C4SC(C5SC(/C=C(/C(OCC(CCCC)CC)=O)\C#N)=CC=5)=CC=4)=CC=3)=CC=2)=CC=1)=O)CC,497.0,575.0,DCM,8.93,0.309
Chen-Bz(T2CAO)2,CCCCCCCCOC(/C(/C#N)=C/C1SC(C2SC(C3C4C(=NSN=4)C(C4SC(C5SC(/C=C(/C(OCCCCCCCC)=O)\C#N)=CC=5)=CC=4)=CC=3)=CC=2)=CC=1)=O,522.0,625.0,DCM,8.93,0.309
Chen-Bz(T2CAEH)2,CCCCC(COC(/C(/C#N)=C/C1SC(C2SC(C3C4C(=NSN=4)C(C4SC(C5SC(/C=C(/C(OCC(CCCC)CC)=O)\C#N)=CC=5)=CC=4)=CC=3)=CC=2)=CC=1)=O)CC,525.0,625.0,DCM,8.93,0.309
Satou-1,CCCCCC(CC)Cc1cscc1c2sc3c(n2)c(c4sc(cc4)N(c5ccccc5)c6ccccc6)c7nsnc7c3c8sc(cc8)N(c9ccccc9)c%10ccccc%10,632.0,755.0,CHX,2.02,0.006
Satou-1,CCCCCC(CC)Cc1cscc1c2sc3c(n2)c(c4sc(cc4)N(c5ccccc5)c6ccccc6)c7nsnc7c3c8sc(cc8)N(c9ccccc9)c%10ccccc%10,634.0,805.0,DCM,8.93,0.309
Satou-1,CCCCCC(CC)Cc1cscc1c2sc3c(n2)c(c4sc(cc4)N(c5ccccc5)c6ccccc6)c7nsnc7c3c8sc(cc8)N(c9ccccc9)c%10ccccc%10,639.0,870.0,DMF,37.5,0.386
Satou-2,CCCCCC(CC)Cc1cscc1c2sc3c(n2)c(c4sc(cc4)c5ccc(cc5)N(c6ccccc6)c7ccccc7)c8nsnc8c3c9sc(cc9)c%10ccc(cc%10)N(c%11ccccc%11)c%12ccccc%12,600.0,698.0,CHX,2.02,0.006
Satou-2,CCCCCC(CC)Cc1cscc1c2sc3c(n2)c(c4sc(cc4)c5ccc(cc5)N(c6ccccc6)c7ccccc7)c8nsnc8c3c9sc(cc9)c%10ccc(cc%10)N(c%11ccccc%11)c%12ccccc%12,600.0,748.0,DCM,8.93,0.309
Satou-2,CCCCCC(CC)Cc1cscc1c2sc3c(n2)c(c4sc(cc4)c5ccc(cc5)N(c6ccccc6)c7ccccc7)c8nsnc8c3c9sc(cc9)c%10ccc(cc%10)N(c%11ccccc%11)c%12ccccc%12,602.0,825.0,DMF,37.5,0.386
Satou-3b,CCCCCC(CC)Cc1sc(cc1)c2sc3c(n2)c(c4sccc4)c5nsnc5c3c6sccc6,508.0,600.0,CHX,2.02,0.006
Sukhikh-L1,C1=CC2=NSN=C2C(=C1)N,410.0,575.0,DCM,8.93,0.309
Sukhikh-L2H,CC(=O)/C=C(C)/Nc1cccc2nsnc12,412.0,538.0,DCM,8.93,0.309
