molecule,smiles,max_abs,max_em,solvent,dc,etn
BTDImMe,C[n+]1ccn(c1)c2ccc(n3cc[n+](C)c3)c4nsnc24,350.0,474.0,DMF,36.7,0.386
BTDImMe,C[n+]1ccn(c1)c2ccc(n3cc[n+](C)c3)c4nsnc24,333.0,453.0,H2O,78.3553,1.0
BTDImMe,C[n+]1ccn(c1)c2ccc(n3cc[n+](C)c3)c4nsnc24,336.0,453.0,MeOH,32.613,0.762
BTDImMe,C[n+]1ccn(c1)c2ccc(n3cc[n+](C)c3)c4nsnc24,336.0,453.0,EtOH,24.852,0.654
BTDImAc,OCC(=O)N1CCN(C1)c2ccc(N3CCN(C3)CC(O)=O)c4nsnc24,356.0,450.0,DMSO,46.826,0.444
BTDImAc,OCC(=O)N1CCN(C1)c2ccc(N3CCN(C3)CC(O)=O)c4nsnc24,347.0,401.0,DMF,36.7,0.386
BTDImAc,OCC(=O)N1CCN(C1)c2ccc(N3CCN(C3)CC(O)=O)c4nsnc24,333.0,450.0,H2O,78.3553,1.0
BTDImAc,OCC(=O)N1CCN(C1)c2ccc(N3CCN(C3)CC(O)=O)c4nsnc24,339.0,450.0,MeOH,32.613,0.762
BTDImAc,OCC(=O)N1CCN(C1)c2ccc(N3CCN(C3)CC(O)=O)c4nsnc24,338.0,450.0,EtOH,24.852,0.654
BTDIm,C1=CN(C=N1)C2=CC=C(C3=NSN=C23)N4C=CN=C4,382.0,542.0,DMSO,46.826,0.444
BTDIm,C1=CN(C=N1)C2=CC=C(C3=NSN=C23)N4C=CN=C4,383.0,531.0,DMF,36.7,0.386
BTDIm,C1=CN(C=N1)C2=CC=C(C3=NSN=C23)N4C=CN=C4,362.0,430.0,H2O,78.3553,1.0
BTDIm,C1=CN(C=N1)C2=CC=C(C3=NSN=C23)N4C=CN=C4,371.0,473.0,MeOH,32.613,0.762
BTDIm,C1=CN(C=N1)C2=CC=C(C3=NSN=C23)N4C=CN=C4,376.0,503.0,EtOH,24.852,0.654
T1,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=C(C=C3)C=CC4=CC=C(C5=NSN=C45)C=CC6=CC=C(C=C6)N(C7=CC=CC=C7)C8=CC=CC=C8,391.0,611.0,TOL,2.3741,0.099
T1,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=C(C=C3)C=CC4=CC=C(C5=NSN=C45)C=CC6=CC=C(C=C6)N(C7=CC=CC=C7)C8=CC=CC=C8,376.0,627.0,AcOEt,6.02,0.228
T1,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=C(C=C3)C=CC4=CC=C(C5=NSN=C45)C=CC6=CC=C(C=C6)N(C7=CC=CC=C7)C8=CC=CC=C8,376.0,637.0,THF,7.58,0.605
T1,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=C(C=C3)C=CC4=CC=C(C5=NSN=C45)C=CC6=CC=C(C=C6)N(C7=CC=CC=C7)C8=CC=CC=C8,388.0,651.0,CFM,4.81,0.259
T1,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=C(C=C3)C=CC4=CC=C(C5=NSN=C45)C=CC6=CC=C(C=C6)N(C7=CC=CC=C7)C8=CC=CC=C8,376.0,659.0,DCM,8.93,0.309
T1,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=C(C=C3)C=CC4=CC=C(C5=NSN=C45)C=CC6=CC=C(C=C6)N(C7=CC=CC=C7)C8=CC=CC=C8,389.0,690.0,DMF,36.7,0.386
T2,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=C(C=C3)C=CC4=CC=C(C=C4)N(C5=CC=C(C=C5)C=CC6=CC=C(C=C6)N(C7=CC=CC=C7)C8=CC=CC=C8)C9=CC=C(C=C9)C=CC1=CC=C(C2=NSN=C12)C=CC1=CC=C(C=C1)N(C1=CC=C(C=C1)C=CC1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=C(C=C1)C=CC1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=CC=C1,404.0,621.0,TOL,2.3741,0.099
T2,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=C(C=C3)C=CC4=CC=C(C=C4)N(C5=CC=C(C=C5)C=CC6=CC=C(C=C6)N(C7=CC=CC=C7)C8=CC=CC=C8)C9=CC=C(C=C9)C=CC1=CC=C(C2=NSN=C12)C=CC1=CC=C(C=C1)N(C1=CC=C(C=C1)C=CC1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=C(C=C1)C=CC1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=CC=C1,399.0,647.0,AcOEt,6.02,0.228
T2,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=C(C=C3)C=CC4=CC=C(C=C4)N(C5=CC=C(C=C5)C=CC6=CC=C(C=C6)N(C7=CC=CC=C7)C8=CC=CC=C8)C9=CC=C(C=C9)C=CC1=CC=C(C2=NSN=C12)C=CC1=CC=C(C=C1)N(C1=CC=C(C=C1)C=CC1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=C(C=C1)C=CC1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=CC=C1,403.0,656.0,THF,7.58,0.605
T2,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=C(C=C3)C=CC4=CC=C(C=C4)N(C5=CC=C(C=C5)C=CC6=CC=C(C=C6)N(C7=CC=CC=C7)C8=CC=CC=C8)C9=CC=C(C=C9)C=CC1=CC=C(C2=NSN=C12)C=CC1=CC=C(C=C1)N(C1=CC=C(C=C1)C=CC1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=C(C=C1)C=CC1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=CC=C1,404.0,661.0,CFM,4.81,0.259
T2,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=C(C=C3)C=CC4=CC=C(C=C4)N(C5=CC=C(C=C5)C=CC6=CC=C(C=C6)N(C7=CC=CC=C7)C8=CC=CC=C8)C9=CC=C(C=C9)C=CC1=CC=C(C2=NSN=C12)C=CC1=CC=C(C=C1)N(C1=CC=C(C=C1)C=CC1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=C(C=C1)C=CC1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=CC=C1,405.0,700.0,DCM,8.93,0.309
T2,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=C(C=C3)C=CC4=CC=C(C=C4)N(C5=CC=C(C=C5)C=CC6=CC=C(C=C6)N(C7=CC=CC=C7)C8=CC=CC=C8)C9=CC=C(C=C9)C=CC1=CC=C(C2=NSN=C12)C=CC1=CC=C(C=C1)N(C1=CC=C(C=C1)C=CC1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=C(C=C1)C=CC1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=CC=C1,404.0,752.0,DMF,36.7,0.386
TP2,CCCCCCCCN1C2=C(C=C(C=C2)C=CC3=CC=C(C=C3)N(C4=CC=C(C=C4)C=CC5=CC6=C(C=C5)N(C7=CC=CC=C7S6)CCCCCCCC)C8=CC=C(C=C8)C=CC9=CC=C(C2=NSN=C92)C=CC2=CC=C(C=C2)N(C2=CC=C(C=C2)C=CC2=CC=C(C=C2)N(C2=CC=CC=C2)C2=CC=CC=C2)C2=CC=C(C=C2)C=CC2=CC=C(C=C2)N(C2=CC=CC=C2)C2=CC=CC=C2)SC2=CC=CC=C21,408.0,620.0,TOL,2.3741,0.099
TP2,CCCCCCCCN1C2=C(C=C(C=C2)C=CC3=CC=C(C=C3)N(C4=CC=C(C=C4)C=CC5=CC6=C(C=C5)N(C7=CC=CC=C7S6)CCCCCCCC)C8=CC=C(C=C8)C=CC9=CC=C(C2=NSN=C92)C=CC2=CC=C(C=C2)N(C2=CC=C(C=C2)C=CC2=CC=C(C=C2)N(C2=CC=CC=C2)C2=CC=CC=C2)C2=CC=C(C=C2)C=CC2=CC=C(C=C2)N(C2=CC=CC=C2)C2=CC=CC=C2)SC2=CC=CC=C21,403.0,646.0,AcOEt,6.02,0.228
TP2,CCCCCCCCN1C2=C(C=C(C=C2)C=CC3=CC=C(C=C3)N(C4=CC=C(C=C4)C=CC5=CC6=C(C=C5)N(C7=CC=CC=C7S6)CCCCCCCC)C8=CC=C(C=C8)C=CC9=CC=C(C2=NSN=C92)C=CC2=CC=C(C=C2)N(C2=CC=C(C=C2)C=CC2=CC=C(C=C2)N(C2=CC=CC=C2)C2=CC=CC=C2)C2=CC=C(C=C2)C=CC2=CC=C(C=C2)N(C2=CC=CC=C2)C2=CC=CC=C2)SC2=CC=CC=C21,405.0,653.0,THF,7.58,0.605
TP2,CCCCCCCCN1C2=C(C=C(C=C2)C=CC3=CC=C(C=C3)N(C4=CC=C(C=C4)C=CC5=CC6=C(C=C5)N(C7=CC=CC=C7S6)CCCCCCCC)C8=CC=C(C=C8)C=CC9=CC=C(C2=NSN=C92)C=CC2=CC=C(C=C2)N(C2=CC=C(C=C2)C=CC2=CC=C(C=C2)N(C2=CC=CC=C2)C2=CC=CC=C2)C2=CC=C(C=C2)C=CC2=CC=C(C=C2)N(C2=CC=CC=C2)C2=CC=CC=C2)SC2=CC=CC=C21,409.0,668.0,CFM,4.81,0.259
TP2,CCCCCCCCN1C2=C(C=C(C=C2)C=CC3=CC=C(C=C3)N(C4=CC=C(C=C4)C=CC5=CC6=C(C=C5)N(C7=CC=CC=C7S6)CCCCCCCC)C8=CC=C(C=C8)C=CC9=CC=C(C2=NSN=C92)C=CC2=CC=C(C=C2)N(C2=CC=C(C=C2)C=CC2=CC=C(C=C2)N(C2=CC=CC=C2)C2=CC=CC=C2)C2=CC=C(C=C2)C=CC2=CC=C(C=C2)N(C2=CC=CC=C2)C2=CC=CC=C2)SC2=CC=CC=C21,409.0,708.0,DCM,8.93,0.309
TP2,CCCCCCCCN1C2=C(C=C(C=C2)C=CC3=CC=C(C=C3)N(C4=CC=C(C=C4)C=CC5=CC6=C(C=C5)N(C7=CC=CC=C7S6)CCCCCCCC)C8=CC=C(C=C8)C=CC9=CC=C(C2=NSN=C92)C=CC2=CC=C(C=C2)N(C2=CC=C(C=C2)C=CC2=CC=C(C=C2)N(C2=CC=CC=C2)C2=CC=CC=C2)C2=CC=C(C=C2)C=CC2=CC=C(C=C2)N(C2=CC=CC=C2)C2=CC=CC=C2)SC2=CC=CC=C21,409.0,749.0,DMF,36.7,0.386
P2,CCCCCCCCN1C2=C(C=C(C=C2)C=CC3=CC=C(C=C3)N(C4=CC=C(C=C4)C=CC5=CC6=C(C=C5)N(C7=CC=CC=C7S6)CCCCCCCC)C8=CC=C(C=C8)C=CC9=CC=C(C2=NSN=C92)C=CC2=CC=C(C=C2)N(C2=CC=C(C=C2)C=CC2=CC3=C(C=C2)N(C2=CC=CC=C2S3)CCCCCCCC)C2=CC=C(C=C2)C=CC2=CC3=C(C=C2)N(C2=CC=CC=C2S3)CCCCCCCC)SC2=CC=CC=C21,407.0,620.0,TOL,2.3741,0.099
P2,CCCCCCCCN1C2=C(C=C(C=C2)C=CC3=CC=C(C=C3)N(C4=CC=C(C=C4)C=CC5=CC6=C(C=C5)N(C7=CC=CC=C7S6)CCCCCCCC)C8=CC=C(C=C8)C=CC9=CC=C(C2=NSN=C92)C=CC2=CC=C(C=C2)N(C2=CC=C(C=C2)C=CC2=CC3=C(C=C2)N(C2=CC=CC=C2S3)CCCCCCCC)C2=CC=C(C=C2)C=CC2=CC3=C(C=C2)N(C2=CC=CC=C2S3)CCCCCCCC)SC2=CC=CC=C21,400.0,644.0,AcOEt,6.02,0.228
P2,CCCCCCCCN1C2=C(C=C(C=C2)C=CC3=CC=C(C=C3)N(C4=CC=C(C=C4)C=CC5=CC6=C(C=C5)N(C7=CC=CC=C7S6)CCCCCCCC)C8=CC=C(C=C8)C=CC9=CC=C(C2=NSN=C92)C=CC2=CC=C(C=C2)N(C2=CC=C(C=C2)C=CC2=CC3=C(C=C2)N(C2=CC=CC=C2S3)CCCCCCCC)C2=CC=C(C=C2)C=CC2=CC3=C(C=C2)N(C2=CC=CC=C2S3)CCCCCCCC)SC2=CC=CC=C21,408.0,654.0,THF,7.58,0.605
P2,CCCCCCCCN1C2=C(C=C(C=C2)C=CC3=CC=C(C=C3)N(C4=CC=C(C=C4)C=CC5=CC6=C(C=C5)N(C7=CC=CC=C7S6)CCCCCCCC)C8=CC=C(C=C8)C=CC9=CC=C(C2=NSN=C92)C=CC2=CC=C(C=C2)N(C2=CC=C(C=C2)C=CC2=CC3=C(C=C2)N(C2=CC=CC=C2S3)CCCCCCCC)C2=CC=C(C=C2)C=CC2=CC3=C(C=C2)N(C2=CC=CC=C2S3)CCCCCCCC)SC2=CC=CC=C21,409.0,663.0,CFM,4.81,0.259
P2,CCCCCCCCN1C2=C(C=C(C=C2)C=CC3=CC=C(C=C3)N(C4=CC=C(C=C4)C=CC5=CC6=C(C=C5)N(C7=CC=CC=C7S6)CCCCCCCC)C8=CC=C(C=C8)C=CC9=CC=C(C2=NSN=C92)C=CC2=CC=C(C=C2)N(C2=CC=C(C=C2)C=CC2=CC3=C(C=C2)N(C2=CC=CC=C2S3)CCCCCCCC)C2=CC=C(C=C2)C=CC2=CC3=C(C=C2)N(C2=CC=CC=C2S3)CCCCCCCC)SC2=CC=CC=C21,410.0,710.0,DCM,8.93,0.309
P2,CCCCCCCCN1C2=C(C=C(C=C2)C=CC3=CC=C(C=C3)N(C4=CC=C(C=C4)C=CC5=CC6=C(C=C5)N(C7=CC=CC=C7S6)CCCCCCCC)C8=CC=C(C=C8)C=CC9=CC=C(C2=NSN=C92)C=CC2=CC=C(C=C2)N(C2=CC=C(C=C2)C=CC2=CC3=C(C=C2)N(C2=CC=CC=C2S3)CCCCCCCC)C2=CC=C(C=C2)C=CC2=CC3=C(C=C2)N(C2=CC=CC=C2S3)CCCCCCCC)SC2=CC=CC=C21,409.0,750.0,DMF,36.7,0.386
BTD-4AP,N(c1ccncc1)c2cccc3nsnc23,404.0,543.0,DCM,8.93,0.309
BTD-4AP,N(c1ccncc1)c2cccc3nsnc23,417.0,570.0,DMSO,46.826,0.444
BTD-4AP,N(c1ccncc1)c2cccc3nsnc23,403.0,551.0,MeCN,37.5,0.46
BTD-4AP,N(c1ccncc1)c2cccc3nsnc23,402.0,572.0,MeOH,32.613,0.762
BTD-4AP,N(c1ccncc1)c2cccc3nsnc23,404.0,533.0,TOL,2.3741,0.099
BTD-4AP,N(c1ccncc1)c2cccc3nsnc23,362.0,552.0,H2O,78.3553,1.0
BTD-4APOc,CCCCCCCC[n+]1ccc(Nc2cccc3nsnc23)cc1,367.0,525.0,DCM,8.93,0.309
BTD-4APOc,CCCCCCCC[n+]1ccc(Nc2cccc3nsnc23)cc1,374.0,529.0,DMSO,46.826,0.444
BTD-4APOc,CCCCCCCC[n+]1ccc(Nc2cccc3nsnc23)cc1,363.0,517.0,MeCN,37.5,0.46
BTD-4APOc,CCCCCCCC[n+]1ccc(Nc2cccc3nsnc23)cc1,364.0,520.0,MeOH,32.613,0.762
BTD-4APOc,CCCCCCCC[n+]1ccc(Nc2cccc3nsnc23)cc1,379.0,509.0,TOL,2.3741,0.099
BTD-4APOc,CCCCCCCC[n+]1ccc(Nc2cccc3nsnc23)cc1,366.0,552.0,H2O,78.3553,1.0
BTD-4APBu,CCCC[n+]1ccc(Nc2cccc3nsnc23)cc1,365.0,535.0,DCM,8.93,0.309
BTD-4APBu,CCCC[n+]1ccc(Nc2cccc3nsnc23)cc1,375.0,526.0,DMSO,46.826,0.444
BTD-4APBu,CCCC[n+]1ccc(Nc2cccc3nsnc23)cc1,363.0,540.0,MeCN,37.5,0.46
BTD-4APBu,CCCC[n+]1ccc(Nc2cccc3nsnc23)cc1,365.0,521.0,MeOH,32.613,0.762
BTD-4APBu,CCCC[n+]1ccc(Nc2cccc3nsnc23)cc1,385.0,528.0,TOL,2.3741,0.099
BTD-4APBu,CCCC[n+]1ccc(Nc2cccc3nsnc23)cc1,365.0,550.0,H2O,78.3553,1.0
BTD-4APBuP,C(CC[P+](c1ccccc1)(c2ccccc2)c3ccccc3)C[n+]4ccc(Nc5cccc6nsnc56)cc4,371.0,504.0,DCM,8.93,0.309
BTD-4APBuP,C(CC[P+](c1ccccc1)(c2ccccc2)c3ccccc3)C[n+]4ccc(Nc5cccc6nsnc56)cc4,372.0,527.0,DMSO,46.826,0.444
BTD-4APBuP,C(CC[P+](c1ccccc1)(c2ccccc2)c3ccccc3)C[n+]4ccc(Nc5cccc6nsnc56)cc4,369.0,512.0,MeCN,37.5,0.46
BTD-4APBuP,C(CC[P+](c1ccccc1)(c2ccccc2)c3ccccc3)C[n+]4ccc(Nc5cccc6nsnc56)cc4,362.0,519.0,MeOH,32.613,0.762
BTD-4APBuP,C(CC[P+](c1ccccc1)(c2ccccc2)c3ccccc3)C[n+]4ccc(Nc5cccc6nsnc56)cc4,377.0,527.0,TOL,2.3741,0.099
BTD-4APBuP,C(CC[P+](c1ccccc1)(c2ccccc2)c3ccccc3)C[n+]4ccc(Nc5cccc6nsnc56)cc4,367.0,538.0,H2O,78.3553,1.0
BTDPy,C1=CC(=NC=C1)C2=CC=C(C3=NSN=C23)Br,362.0,463.0,ACN,35.688,0.46
BTDPy,C1=CC(=NC=C1)C2=CC=C(C3=NSN=C23)Br,366.0,461.0,DCM,8.93,0.309
BTDPy,C1=CC(=NC=C1)C2=CC=C(C3=NSN=C23)Br,359.0,467.0,MeOH,32.613,0.762
BTDPy,C1=CC(=NC=C1)C2=CC=C(C3=NSN=C23)Br,367.0,459.0,THF,7.58,0.605
BTDPy,C1=CC(=NC=C1)C2=CC=C(C3=NSN=C23)Br,362.0,462.0,Ac,20.7,0.355
BTDPy,C1=CC(=NC=C1)C2=CC=C(C3=NSN=C23)Br,361.0,465.0,EtOH,24.852,0.654
BTDPy,C1=CC(=NC=C1)C2=CC=C(C3=NSN=C23)Br,369.0,458.0,TOL,2.3741,0.099
BTDPy,C1=CC(=NC=C1)C2=CC=C(C3=NSN=C23)Br,365.0,446.0,HEX,1.88,0.009
BTDPyMe,C[N+]1=C(C=CC=C1)C2=CC=C(C3=NSN=C23)Br,337.0,443.0,ACN,35.688,0.46
BTDPyMe,C[N+]1=C(C=CC=C1)C2=CC=C(C3=NSN=C23)Br,344.0,446.0,DCM,8.93,0.309
BTDPyMe,C[N+]1=C(C=CC=C1)C2=CC=C(C3=NSN=C23)Br,340.0,441.0,MeOH,32.613,0.762
BTDPyMe,C[N+]1=C(C=CC=C1)C2=CC=C(C3=NSN=C23)Br,353.0,455.0,THF,7.58,0.605
BTDPyMe,C[N+]1=C(C=CC=C1)C2=CC=C(C3=NSN=C23)Br,338.0,440.0,Ac,20.7,0.355
BTDPyMe,C[N+]1=C(C=CC=C1)C2=CC=C(C3=NSN=C23)Br,338.0,439.0,EtOH,24.852,0.654
BTDPyMe,C[N+]1=C(C=CC=C1)C2=CC=C(C3=NSN=C23)Br,340.0,460.0,TOL,2.3741,0.099
BTDShiny,COC1=CC=C(C=C1)C2=CC=C(C3=NC=CC=C3)C4=NSN=C24,403.0,552.0,ACN,35.688,0.46
BTDShiny,COC1=CC=C(C=C1)C2=CC=C(C3=NC=CC=C3)C4=NSN=C24,407.0,543.0,DCM,8.93,0.309
BTDShiny,COC1=CC=C(C=C1)C2=CC=C(C3=NC=CC=C3)C4=NSN=C24,407.0,566.0,MeOH,32.613,0.762
BTDShiny,COC1=CC=C(C=C1)C2=CC=C(C3=NC=CC=C3)C4=NSN=C24,412.0,534.0,THF,7.58,0.605
BTDShiny,COC1=CC=C(C=C1)C2=CC=C(C3=NC=CC=C3)C4=NSN=C24,407.0,545.0,Ac,20.7,0.355
BTDShiny,COC1=CC=C(C=C1)C2=CC=C(C3=NC=CC=C3)C4=NSN=C24,409.0,556.0,EtOH,24.852,0.654
BTDShiny,COC1=CC=C(C=C1)C2=CC=C(C3=NC=CC=C3)C4=NSN=C24,412.0,526.0,TOL,2.3741,0.099
BTDShiny,COC1=CC=C(C=C1)C2=CC=C(C3=NC=CC=C3)C4=NSN=C24,409.0,511.0,HEX,1.88,0.009
BTD-AO,CCCCCCCCC=CCCCCCCCC(=O)NC1=CC=CC2=NSN=C21,375.0,502.0,DMSO,46.826,0.444
BTD-AO,CCCCCCCCC=CCCCCCCCC(=O)NC1=CC=CC2=NSN=C21,379.0,499.0,H2O,78.3553,1.0
BTD-AO,CCCCCCCCC=CCCCCCCCC(=O)NC1=CC=CC2=NSN=C21,373.0,481.0,AcOEt,6.02,0.228
BTD-AO,CCCCCCCCC=CCCCCCCCC(=O)NC1=CC=CC2=NSN=C21,372.0,481.0,DCM,8.93,0.309
BTD-AO,CCCCCCCCC=CCCCCCCCC(=O)NC1=CC=CC2=NSN=C21,375.0,475.0,PHME,2.3741,0.099
BTD-AO,CCCCCCCCC=CCCCCCCCC(=O)NC1=CC=CC2=NSN=C21,365.0,505.0,EtOH,24.852,0.654
BTDNHBTD,C1=CC2=NSN=C2C(=C1)NC3=CC=CC4=NSN=C43,455.0,586.0,DMSO,46.826,0.444
BTDNHBTD,C1=CC2=NSN=C2C(=C1)NC3=CC=CC4=NSN=C43,458.0,607.0,H2O,78.3553,1.0
BTDNHBTD,C1=CC2=NSN=C2C(=C1)NC3=CC=CC4=NSN=C43,447.0,549.0,AcOEt,6.02,0.228
BTDNHBTD,C1=CC2=NSN=C2C(=C1)NC3=CC=CC4=NSN=C43,452.0,553.0,DCM,8.93,0.309
BTDNHBTD,C1=CC2=NSN=C2C(=C1)NC3=CC=CC4=NSN=C43,447.0,575.0,ACN,35.688,0.46
BTDNHBTD,C1=CC2=NSN=C2C(=C1)NC3=CC=CC4=NSN=C43,457.0,521.0,TOL,2.3741,0.099
BTDNHBTD,C1=CC2=NSN=C2C(=C1)NC3=CC=CC4=NSN=C43,451.0,556.0,EtOH,24.852,0.654
BTDNHBTD,C1=CC2=NSN=C2C(=C1)NC3=CC=CC4=NSN=C43,449.0,567.0,Ac,20.7,0.355
BTDNHBTD,C1=CC2=NSN=C2C(=C1)NC3=CC=CC4=NSN=C43,455.0,541.0,CFM,4.81,0.259
BTD-APPh,N(c1ccccn1)c2ccc(c3ccccc3)c4nsnc24,442.0,588.0,MeCN,37.5,0.46
BTD-APPh,N(c1ccccn1)c2ccc(c3ccccc3)c4nsnc24,448.0,578.0,AcOEt,6.02,0.228
BTD-APPh,N(c1ccccn1)c2ccc(c3ccccc3)c4nsnc24,449.0,568.0,PHME,2.3741,0.099
BTD-APPh,N(c1ccccn1)c2ccc(c3ccccc3)c4nsnc24,447.0,588.0,DCM,8.93,0.309
BTD-APPh,N(c1ccccn1)c2ccc(c3ccccc3)c4nsnc24,448.0,606.0,EtOH,24.852,0.654
BTD-APMPh,COc1ccc(cc1)c2ccc(Nc3ccccn3)c4nsnc24,447.0,614.0,MeCN,37.5,0.46
BTD-APMPh,COc1ccc(cc1)c2ccc(Nc3ccccn3)c4nsnc24,455.0,598.0,AcOEt,6.02,0.228
BTD-APMPh,COc1ccc(cc1)c2ccc(Nc3ccccn3)c4nsnc24,457.0,592.0,PHME,2.3741,0.099
BTD-APMPh,COc1ccc(cc1)c2ccc(Nc3ccccn3)c4nsnc24,455.0,610.0,DCM,8.93,0.309
BTD-APMPh,COc1ccc(cc1)c2ccc(Nc3ccccn3)c4nsnc24,453.0,620.0,EtOH,24.852,0.654
BTD-APTPh,N(c1ccccn1)c2ccc(C#Cc3ccccc3)c4nsnc24,454.0,600.0,MeCN,37.5,0.46
BTD-APTPh,N(c1ccccn1)c2ccc(C#Cc3ccccc3)c4nsnc24,459.0,580.0,AcOEt,6.02,0.228
BTD-APTPh,N(c1ccccn1)c2ccc(C#Cc3ccccc3)c4nsnc24,459.0,570.0,PHME,2.3741,0.099
BTD-APTPh,N(c1ccccn1)c2ccc(C#Cc3ccccc3)c4nsnc24,459.0,592.0,DCM,8.93,0.309
BTD-APTPh,N(c1ccccn1)c2ccc(C#Cc3ccccc3)c4nsnc24,460.0,616.0,EtOH,24.852,0.654
BTD-APTPy,N(c1ccccn1)c2ccc(C#Cc3ccccn3)c4nsnc24,451.0,590.0,MeCN,37.5,0.46
BTD-APTPy,N(c1ccccn1)c2ccc(C#Cc3ccccn3)c4nsnc24,455.0,572.0,AcOEt,6.02,0.228
BTD-APTPy,N(c1ccccn1)c2ccc(C#Cc3ccccn3)c4nsnc24,456.0,560.0,PHME,2.3741,0.099
BTD-APTPy,N(c1ccccn1)c2ccc(C#Cc3ccccn3)c4nsnc24,456.0,582.0,DCM,8.93,0.309
BTD-APTPy,N(c1ccccn1)c2ccc(C#Cc3ccccn3)c4nsnc24,457.0,602.0,EtOH,24.852,0.654
Splendor,COC1=CC=C(C=C1)C2=CC=C(C3=NSN=C23)C#CC4=CC=CC=N4,406.0,544.0,MeCN,37.5,0.46
Splendor,COC1=CC=C(C=C1)C2=CC=C(C3=NSN=C23)C#CC4=CC=CC=N4,406.0,518.0,AcOEt,6.02,0.228
Splendor,COC1=CC=C(C=C1)C2=CC=C(C3=NSN=C23)C#CC4=CC=CC=N4,410.0,510.0,PHME,2.3741,0.099
Splendor,COC1=CC=C(C=C1)C2=CC=C(C3=NSN=C23)C#CC4=CC=CC=N4,409.0,530.0,DCM,8.93,0.309
Splendor,COC1=CC=C(C=C1)C2=CC=C(C3=NSN=C23)C#CC4=CC=CC=N4,404.0,550.0,EtOH,24.852,0.654
BTDBrCCPh,C1=CC=C(C=C1)C#CC2=CC=C(C3=NSN=C23)Br,385.0,460.0,HEX,1.88,0.009
BTDBrCCPh,C1=CC=C(C=C1)C#CC2=CC=C(C3=NSN=C23)Br,385.0,457.0,TOL,2.3741,0.099
BTDBrCCPh,C1=CC=C(C=C1)C#CC2=CC=C(C3=NSN=C23)Br,385.0,480.0,DCM,8.93,0.309
BTDBrCCPh,C1=CC=C(C=C1)C#CC2=CC=C(C3=NSN=C23)Br,378.0,482.0,ACN,35.688,0.46
BTDBrCCPh,C1=CC=C(C=C1)C#CC2=CC=C(C3=NSN=C23)Br,381.0,465.0,AcOEt,6.02,0.228
BTDBrCCPh,C1=CC=C(C=C1)C#CC2=CC=C(C3=NSN=C23)Br,382.0,487.0,DMSO,46.826,0.444
BTDBrCCPh,C1=CC=C(C=C1)C#CC2=CC=C(C3=NSN=C23)Br,384.0,500.0,EtOH,24.852,0.654
BTDBrCCPh,C1=CC=C(C=C1)C#CC2=CC=C(C3=NSN=C23)Br,398.0,495.0,H2O,78.3553,1.0
BTDCCPh,s1nc2cccc(C#Cc3ccccc3)c2n1,367.0,427.0,HEX,1.88,0.009
BTDCCPh,s1nc2cccc(C#Cc3ccccc3)c2n1,367.0,447.0,TOL,2.3741,0.099
BTDCCPh,s1nc2cccc(C#Cc3ccccc3)c2n1,367.0,457.0,DCM,8.93,0.309
BTDCCPh,s1nc2cccc(C#Cc3ccccc3)c2n1,361.0,457.0,ACN,35.688,0.46
BTDCCPh,s1nc2cccc(C#Cc3ccccc3)c2n1,363.0,450.0,AcOEt,6.02,0.228
BTDCCPh,s1nc2cccc(C#Cc3ccccc3)c2n1,364.0,470.0,DMSO,46.826,0.444
BTDCCPh,s1nc2cccc(C#Cc3ccccc3)c2n1,366.0,485.0,EtOH,24.852,0.654
BTDCCPh,s1nc2cccc(C#Cc3ccccc3)c2n1,369.0,517.0,H2O,78.3553,1.0
BTD(CCPh)2,C1=CC=C(C=C1)C#CC2=CC=C(C3=NSN=C23)C#CC4=CC=CC=C4,411.0,460.0,HEX,1.88,0.009
